ticker,date,gap_pct,bars,session_open,session_close,first_hour_high,first_hour_low,first_hour_close,first_hour_return,first_hour_close_location,first_hour_max_close_drawdown,first_hour_directional_efficiency,pre_afternoon_high,pre_afternoon_high_minute,post_first_new_high,post_first_new_high_minute,afternoon_new_high,afternoon_new_high_minute,close_above_first_hour_high,close_above_pre_afternoon_high,close_within_2pct_of_hod,pullback_before_afternoon_hod,constructive_pullback_before_afternoon_hod,pre_hod_pullback_depth,reclaim_signal,reclaim_signal_minute,reclaim_signal_price,reclaim_new_hod_after,reclaim_to_close_return,reclaim_mfe,reclaim_mae,runner_loose,runner_primary,runner_strict
APLD,2025-07-31,0.25324027916251257,390,12.57,13.16,14.06,12.2,13.665,0.08711217183770881,0.78763440860215,0.02477178055481699,0.18673897472628648,14.06,46,False,,False,,False,False,False,False,False,,False,,,False,,,,True,True,False
ALAB,2025-08-06,0.21727903202006793,390,164.99,174.46,183.62,160.47,176.825,0.07173162009818768,0.7064794816414681,0.03980909917579978,0.16626160740626272,183.62,49,False,,False,,False,False,False,False,False,,False,,,False,,,,True,False,False
NBIS,2025-08-07,0.16845162461426752,390,64.37,65.27,70.54,63.38,68.69,0.0671120086997048,0.7416201117318425,0.05576872733794336,0.15763776884172695,70.54,1,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
IREN,2025-08-29,0.19357638888888887,390,27.5,26.5,29.5,26.42,26.605,-0.032545454545454544,0.06006493506493468,0.09448818897637801,0.0,29.5,4,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
CRDO,2025-09-04,0.10599503085677654,390,137.995,133.99,141.09,134.0,137.38,-0.004456683213159951,0.47672778561353935,0.045590115040477164,0.0,141.09,15,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
NBIS,2025-09-09,0.5173275054636279,390,97.2,95.64,97.87,86.12,87.42,-0.10061728395061731,0.11063829787234018,0.11075102880658438,0.0,97.87,0,True,225.0,True,225.0,False,False,False,True,False,0.12005721875957898,True,210.0,95.25,True,0.004094488188976397,0.03600944881889778,-0.008818897637795309,False,False,False
OPEN,2025-09-11,0.2986245812026096,390,7.3645,10.1371,8.9516,7.1806,8.5645,0.1629438522642408,0.7814229249011865,0.061588819501077974,0.2682643297862827,9.6194,138,True,66.0,True,294.0,True,True,False,True,True,0.07847682807659528,True,217.0,9.2952,True,0.09057362940012048,0.1139943196488511,-0.022387899130734135,False,False,False
SNDK,2025-09-11,0.11336580086580073,390,82.3,84.31,85.89,81.38,84.31,0.024422843256379112,0.6496674057649675,0.026954492415402598,0.10020539613536213,85.89,11,False,,False,,False,False,True,False,False,,False,,,False,,,,False,False,False
INTC,2025-09-18,0.27630522088353415,390,31.78,30.57,31.79,30.44,31.615,-0.005191944619257427,0.8703703703703697,0.036453744493392115,0.0,32.3771,145,True,109.0,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
USAR,2025-10-03,0.14883311316600611,390,26.09,25.96,28.02,25.01,27.94,0.0709083940206976,0.9734219269102996,0.040231968104385674,0.1857019533837908,28.25,65,True,60.0,False,,False,False,False,False,False,,False,,,False,,,,True,False,False
ALAB,2025-10-06,0.13858722725914108,390,228.56,220.711,230.46,217.0,224.515,-0.01769775988799449,0.5583209509658233,0.050577528876443845,0.0,230.46,0,True,229.0,True,229.0,False,False,False,True,False,0.058404929271891004,True,210.0,229.2525,True,-0.03725804516853681,0.011984602130838296,-0.038134807690210604,False,False,False
AMD,2025-10-06,0.37514422784963863,390,226.445,203.64,226.709,205.7,210.8,-0.06908962441210886,0.24275310581179585,0.08538497206827256,0.0,226.709,0,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
EOSE,2025-10-06,0.14563492063492078,390,14.435,13.87,15.19,13.94,14.825,0.02701766539660544,0.7079999999999999,0.0356906807666888,0.08475681314382554,15.19,9,False,,False,,False,False,False,False,False,,False,,,False,,,,True,False,False
APLD,2025-10-10,0.2639125981563675,390,37.02,33.965,39.0697,35.18,36.9923,-0.000748244192328551,0.46592282181145117,0.05735694123684887,0.0,39.0697,13,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
USAR,2025-10-10,0.1018667524943675,390,34.235,32.6,34.73,31.31,31.91,-0.06791295457864754,0.1754385964912286,0.09009551374819091,0.0,37.85,155,True,98.0,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
SNDK,2025-10-13,0.10974253699426928,389,129.74,134.43,131.245,124.0475,130.2234,0.003725913365191902,0.8580618270232712,0.04193001387390172,0.01800748014483428,135.3865,209,True,61.0,True,215.0,True,False,True,False,False,0.007280637286583236,False,,,False,,,,False,False,False
USAR,2025-10-13,0.1827660226924257,390,38.57,38.71,43.98,37.5,41.0712,0.06484832771584115,0.551111111111111,0.06465042131632881,0.12558116182155932,43.98,36,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
NVTS,2025-10-14,0.2487462387161483,390,12.45,12.57,12.5,10.92,12.075,-0.030120481927710885,0.7310126582278477,0.11726907630522077,0.0,13.05,202,True,176.0,True,324.0,True,False,False,True,True,0.03371647509578557,True,218.0,12.8686,True,-0.023203767309575296,0.03585471613073676,-0.03408296162752755,False,False,False
GRAL,2025-10-20,0.147948717948718,383,89.54,91.815,102.9999,89.01,94.25,0.05260218896582525,0.37455592963495077,0.11054547370290113,0.1150295511161041,102.9999,15,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
EOSE,2025-10-21,0.13424383744170543,390,17.025,16.3,17.33,15.64,17.02,-0.0002936857562407802,0.8165680473372786,0.07430249632892794,0.0,17.33,47,False,,False,,False,False,False,False,False,,True,210.0,17.135,False,-0.04873066822293559,0.008462211847096501,-0.06886489641085503,False,False,False
CIFR,2025-11-03,0.2300268096514746,390,22.94,22.75,25.11,22.0,23.0941,0.006717523975588557,0.3518006430868171,0.08876449420231913,0.013030941085939897,25.11,27,False,,False,,False,False,False,False,False,,True,323.0,23.08,False,-0.014298093587521543,0.011698440207972505,-0.02123050259965331,False,False,False
IREN,2025-11-03,0.20279835390946488,390,73.07,67.76,75.73,68.68,69.41,-0.050088955795812184,0.10354609929077874,0.06726335774342274,0.0,75.73,0,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
APLD,2025-11-20,0.1232135123430056,390,25.935,21.36,26.6,24.4,24.835,-0.04241372662425291,0.1977272727272735,0.06985562310030391,0.0,26.6,2,False,,False,,False,False,False,False,False,,False,,,False,,,,False,False,False
